original_label;group_pft;group_ord;group_fam
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Anthozoa_Hexacorallia_Actiniaria;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Anthoathecata_Porpitidae_larvae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona_bract;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona_eudoxie;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona_gonophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Abylopsis_Abylopsis tetragona_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis_bract;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis_eudoxie;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis_gonophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Abylidae_Bassia_Bassia bassensis_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae_bract;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae_eudoxie;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae_gonophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Diphyidae_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Calycophorae_Hippopodiidae_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae_Agalmatidae_Agalma_Agalma elegans_siphonula;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_Physonectae_nectophore;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Hydroidolina_Siphonophorae_part;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Trachylina_Narcomedusae_Aeginidae_Solmundella_Solmundella bitentaculata;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Trachylina_Trachymedusae_Rhopalonematidae_Aglaura;Cnidaria;Cnidaria;Cnidaria
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Cnidaria_Hydrozoa_Trachylina_Trachymedusae_Rhopalonematidae_Rhopalonema_Rhopalonema velatum;Cnidaria;Cnidaria;Cnidaria
