1.1852,0,7.9012,1373.8,0,13.235,1485.2,0.19753,0,0,0,0,122.67,676.54,0,0,0,6.321,0,0,4.9383,744.49,0,0,0.19753,0,104.49,0.79012,13.432,38.914,31.802,0.19753,0.59259
19.048,0,1.0476,95.714,0.28571,0.38095,20.19,4.381,0,0.28571,0,0,0.7619,49.238,0,0.28571,0,0,0,0.095238,9.7143,79.714,0.095238,0.095238,3.7143,11.905,1.0476,0.095238,6.381,7.1429,0.66667,2.2857,2.8571
2.5111,0.13333,2.7111,170.78,0.77778,0,48.422,7.9111,1,16.111,0.35556,0,0.73333,69.133,19.911,2.4889,0.022222,0.044444,0.82222,0,10.289,71.667,0,1.7778,2.7333,5.8667,2.9556,0.066667,2.8667,2.8222,3.9333,31.667,8.8
3,0,4.6667,222.17,1.3333,0,16.583,32.167,0,4.7083,0,0,0.41667,61.125,53.5,9.3333,0.83333,0,0.5,0,9.6667,143.62,0,6,2.4167,19.917,4.375,1.25,4,15.25,9.2083,35.25,2.6667
2.1395,0,5.3023,97.395,0.93023,0.18605,21.302,21.302,0,12.744,0,0.093023,0.74419,40.372,42.791,2.0465,0.55814,0,0.37209,0,6.9767,88.837,0.55814,0.37209,6.5116,12.465,2.6047,1.3023,1.3023,5.4884,0.55814,4.2791,2.2326
1.6529,0.033058,0.47934,20.595,0.84298,0.033058,2.7438,18.694,0.033058,1.1074,0.016529,0,0.099174,8.6116,0.39669,0.18182,0.016529,0,0.2314,0,1.1736,25.008,0,0.42975,0.18182,0.59504,0.42975,0.18182,0.33058,1.7355,1.1901,0.26446,0.38017
1.6,0,0.47778,32.278,0.41111,0.044444,3,11.922,0,0.78889,0.22222,0.044444,0.1,12.867,4.8556,0.13333,0.088889,0,0.088889,0,1.2111,26.356,0,0.4,0.57778,2.1,0.5,0.18889,0.31111,1.7222,0.95556,0.24444,0.81111
0.71508,0,2.257,64.536,0.60335,0.022346,10.682,36.313,0,4.0894,0.35754,0.3352,0.20112,19.553,3.7765,0.53631,0,0,0.11173,0,2.0112,29.899,0,4.5587,1.2067,1.4525,0.6257,0.35754,4.2235,2.7709,3.933,0.46927,0.73743
0.42478,0.053097,1.0973,34.938,0.46018,0,5.6991,25.257,0,0.79646,0.070796,0,0,18.956,0.99115,0.30088,0,0,0.40708,0,4.4602,37.292,0.21239,5.1504,2.5133,3.0265,2.1062,0.67257,10.903,6.6195,4.0885,1.0088,1.3628
2.4167,0.41667,1.0833,108,1.0833,0.16667,15.083,29,1.3333,0.83333,0.75,0.16667,2.4167,38.833,16.667,1,0,0,0.83333,0.5,14.917,73.583,0,2.1667,4,9.75,1.1667,0.75,1.3333,7.8333,3.75,2,2.25
