26,38.389,20.169,0.048553,0.00093585,0.030018,0.099954,39,49,55,63,60,203,NaN,19.172,17.962,38.541,38.547,0.1299,0.18188,212.32,225.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2096,0.0075,0.0095,0.0225,1.0268,19.105,51.009,38.361,27.565,213.71,NaN,0.12386,0.000137,0.000944,1.3825,0.086391,11.414,0,365,0.46,590
30,33.826,32.787,0.03292,0.00061261,0.012547,0.073512,49,34,70,63,59,808,982,20.465,17.884,39.611,39.398,0.091086,0.16578,207.53,218.75,-0.44603,-0.58259,0.005,0,NaN,0.6655,18.616,51.525,39.235,28.361,218.75,0.078824,0.091071,6.2e-05,0.000624,1.3498,0.052771,6.638,0.00125,0.00025,0.0455,0.816,20.442,53.763,39.423,28.02,207.61,0.18871,0.067706,7.8e-05,0.000739,1.1765,0.063014,10.35,0,365,0.01,595
31,27.133,34.731,0.036789,0.00074153,0.014419,0.077421,55,47,80,89,60,293,160,25.058,24.45,40.172,40.367,0.040949,0.22508,189.51,183.79,-0.13728,-0.13728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61819,0.00925,0.01225,0.036,0.8825,25.028,59.715,39.96,27.086,189.92,0,0.11285,9.5e-05,0.000808,1.0544,0.056839,19.022,0,365,0.29,632
32,23.333,37.195,0.038257,0.00098444,0.015435,0.077454,57,56,76,191,14,202,204,25.712,26.13,40.036,40.389,0.036265,0.24256,188.55,180.39,0.53745,0.71263,0.01,0.025,NaN,0.85,26.129,61.354,40.187,26.917,181.5,0.47262,0.1566,0.000126,0.000934,1.2725,0.060484,3.0062,0.01075,0.00875,0,0.8775,25.812,60.384,39.771,26.698,188.34,0.27975,0.085486,0.000114,0.000851,1.1138,0.053638,21.63,0,365,0.13,649
33,22.074,38.189,0.049145,0.00083067,0.029942,0.10277,42,34,30,77,45,153,153,27.33,27.333,39.122,39.136,0.16578,0.25646,182.76,180.27,0.074824,-0.49066,0.1235,0.2655,2.7225,2.377,26.543,60.535,39.163,26.006,157.13,1.2756,0.12247,7.7e-05,0.000589,1.5681,0.051342,20.383,0.003,0.04575,0.006,1.1202,27.31,61.002,38.944,25.591,183.59,0.2535,0.15057,0.000114,0.000851,1.2825,0.085863,18.299,0,365,0.03,655
34,18.345,39.759,NaN,NaN,NaN,0.10267,42,28,22,81,13,244,150,27.67,27.671,38.816,38.816,0.21249,0.22996,183.9,183.76,-0.20365,-0.39268,0.269,0.0885,0.635,1.3525,27.559,61.241,38.895,25.474,175.51,0,0.14795,7.5e-05,0.000569,1.42,0.046166,0.25531,0.011,0.144,0.029,2.6405,27.635,60.957,38.64,25.256,183.85,0,0.13726,0.000117,0.000851,1.3513,0.068212,17.795,0,365,0.22,672
36,20.733,63.453,0.085065,0.0016299,0.090886,0.17383,27,11,18,18,13,596,84,25.619,25.098,36.684,36.67,0.25421,0.50037,211.4,197.91,1.9253,1.7908,0.277,0.431,1.115,1.4395,25.052,55.18,36.523,24.477,201.6,1.7052,0.28292,0.000282,0.00191,1.7369,0.1617,NaN,0.0455,0.3575,0.1415,1.143,25.681,55.862,36.526,24.285,209.81,1.5453,0.20549,0.000299,0.00203,1.3744,0.17013,16.012,0,365,0.1,717
38,19.034,64.449,0.061298,0.001518,0.034251,0.13204,36,13,33,137,17,690,131,26.428,25.498,36.776,36.745,0.18073,0.44834,200.03,190.33,1.3468,1.732,0.7,0.417,1.858,1.625,25.608,55.851,36.55,24.313,189.02,0.67279,0.18592,0.00029,0.002011,1.6147,0.11634,NaN,0.107,0.337,0.4195,1.278,26.314,56.703,36.618,24.148,187.74,0.63267,0.11364,0.000198,0.001391,1.331,0.09532,22.493,0,365,0,721
39,18.512,66.468,0.056218,0.0014728,0.030925,0.10185,46,14,32,114,14,687,NaN,27.029,25.994,36.502,36.64,0.11115,0.50504,194.71,197.28,NaN,NaN,0.011,0.2465,0.0675,1.2415,26.692,56.781,36.402,23.877,187.48,0,0.1968,0.000164,0.001161,1.4378,0.10923,NaN,0.0065,0.2335,0.0425,1.515,27.089,57.099,36.311,23.677,193.07,0,0.11527,0.000138,0.000986,1.1886,0.098268,24.687,0,365,0.07,724
40,17.44,67.841,0.054078,0.00092636,0.034712,0.097091,50,19,36,71,15,486,73,27.55,26.503,36.385,36.515,0.06872,0.44275,191.72,177.76,1.2537,0.43907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,0.27,0.026,1.792,27.584,57.521,36.227,23.453,192.99,0,0.1316,0.000139,0.001048,1.1542,0.089287,29.015,0,365,0.4,728
