"Dataset"	"Station"	"Tara_Sample_ID"	"Depth_layer"	"Fraction_size"	"Latitude"	"Longitude"	"ESD_Zooplankton"	"ESD_Copepoda"	"ESD_Rhizaria"	"ESD_Cnidaria"	"ESD_Tunicata"	"ESD_Eumalacostraca"	"ESD_Pteropoda"	"ESD_Chaetognatha"	"ESD_Other_large"	"ESD_Other_small"	"ESD_Other_unid"	"ESD_Small_grazers"	"ESD_Acartiidae"	"ESD_Aetideidae"	"ESD_Arietellidae"	"ESD_Augaptilidae"	"ESD_Calanidae"	"ESD_Calanoida_unidentified"	"ESD_Candaciidae"	"ESD_Centropagidae"	"ESD_Corycaeidae"	"ESD_Eucalanidae"	"ESD_Euchaetidae"	"ESD_Harpacticoida"	"ESD_Heterorhabdidae"	"ESD_Lubbockiidae"	"ESD_Metridinidae"	"ESD_Monstrilloida"	"ESD_Oithonidae"	"ESD_Oncaeidae"	"ESD_Paracalanidae"	"ESD_Pontellidae"	"ESD_Rhincalanidae"	"ESD_Sapphirinidae"	"ESD_Temoridae"	"ESD_Calanoida"	"ESD_Cyclopoida"	"ESD_Poecilostomatoida"	"ESD_Copepoda_unid"	"Temperature"	"Salinity"	"Oxygen"	"Depth_min_O2"	"MLD"	"Zeu"	"PAR"	"PAR2"	"Kd_PAR"	"beta470_sur"	"bb470_sur"	"bac660_sur"	"Kd490"	"bbp470"	"Chla_10m"	"Chla_integrated"	"DCM"	"NPP"	"Nitrates"	"Phosphates"	"Silicates"	"Iron"	"Micro"	"Nano"	"Pico"	"POC"	"PIC"	"Lyapunov"	"flux200m"	"flux500m"	"flux1000m"	"Distance"
"11"	"wp2"	26	"TARA_A100000655"	"0-100"	200	38.4323	20.1874	6.08645649446355	6.02868807490595	6.4330204753605	6.20196855487573	5.85541570264471	6.895125862582	5.85541570264471	7.01064574658139	6.66407733269508	5.79763705012783	6.66407733269508	6.02868807490595	6.08645649446355	NA	NA	7.29945947184026	7.18394658471842	6.2597344160383	7.06842750437104	5.79763705012783	6.49078423068777	NA	7.41499447921271	6.37526329224308	7.01067281298882	NA	6.5485485613789	NA	6.14420709312287	6.02868807490595	6.5485485613789	NA	NA	7.24172438538523	6.5485485613789	6.02868807490595	5.91317862870944	6.02868807490595	6.37526329224308	19.172	38.541	212.32	5.87713065921074	49	3.39121144301417	11.414	20.91916325	0.099954	0.000137	0.000944	0.086391	0.048553	0.00093585	0.122129133233063	2.78616335607801	4.00733318523247	NA	0.406659350700002	0.20991682269042	1.00625249153865	0.001387959	NA	NA	NA	59.38225377	0.000112326	0	0.142656635	NA	NA	51.69083141
"12"	"wp2"	30	"TARA_A100000636"	"0-100"	200	33.9232	32.8028	6.02868807490595	5.97093015213513	5.97093015213513	6.60631229128032	5.97093015213513	7.12617569382721	5.73988937054948	6.60631229128032	6.4330204753605	5.73988937054948	6.4330204753605	5.85541570264471	5.97093015213513	NA	NA	7.18394658471842	NA	6.20196855487573	6.49078423068777	6.2597344160383	6.49078423068777	NA	NA	6.14420709312287	NA	NA	6.60631229128032	NA	6.20196855487573	5.85541570264471	6.37526329224308	NA	NA	7.29945947184026	6.72183525546589	5.97093015213513	5.97093015213513	5.97093015213513	6.14420709312287	20.465	39.611	207.53	9.31401901560767	34	3.65930571002297	10.35	19.87660075	0.073512	7.8e-05	0.000739	0.063014	0.03292	0.00061261	0.0871735305087039	2.85101570225117	4.24849524204936	306.2666667	0.606072591303387	0.0854987973338349	0.932936339098569	0.001387635	5.19998156	46.10586487	48.69415357	41.98608971	0.00014266	0.062699	0.063408374	0.031758383	NA	111.3194908
"13"	"wp2"	31	"TARA_A100001476"	"0-100"	200	27.15	34.8183	6.08645649446355	6.08645649446355	5.73988937054948	6.7796036750235	6.4330204753605	7.12617569382721	5.85541570264471	6.66407733269508	6.895125862582	5.97093015213513	6.4330204753605	6.14420709312287	6.37526329224308	NA	NA	6.83736500300874	6.7796036750235	6.20196855487573	6.83736500300874	6.7796036750235	6.14420709312287	NA	7.47272812081857	6.49078423068777	NA	NA	6.4330204753605	NA	6.02868807490595	6.02868807490595	6.4330204753605	NA	NA	7.58827304314194	6.49078423068777	6.14420709312287	5.85541570264471	6.02868807490595	6.4330204753605	25.058	40.172	189.51	6.64185219534421	47	3.80295246076139	19.022	32.072556	0.077421	9.5e-05	0.000808	0.056839	0.036789	0.00074153	0.0401327970782494	2.85810870969195	4.38202663467388	334.5795	0.358952717603416	0.341281209827856	1.04096557267884	0.00138745	7.908267796	27.55301379	64.53871841	44.07948875	0.000108206	0.028165	0.0737119	NA	NA	92.70752867
"14"	"wp2"	32	"TARA_A100001168"	"0-100"	200	23.3756	37.2411	6.08645649446355	6.08645649446355	5.79763705012783	6.60631229128032	6.14420709312287	7.29945947184026	5.79763705012783	6.66407733269508	6.72183525546589	5.97093015213513	6.49078423068777	6.08645649446355	6.37526329224308	NA	NA	6.895125862582	6.83736500300874	6.49078423068777	7.12616765592045	6.7796036750235	6.08645649446355	NA	6.20196855487573	6.37526329224308	NA	NA	6.37526329224308	NA	6.02868807490595	6.08645649446355	6.37526329224308	7.41499447921271	NA	7.29945947184026	6.49078423068777	6.14420709312287	5.85541570264471	5.97093015213513	6.31750758823866	25.712	40.036	188.55	5.86746430844261	56	3.8485011312768	21.63	35.41432467	0.077454	0.000114	0.000851	0.053638	0.038257	0.00098444	0.0356229026340133	2.76679383929133	4.33073334028633	375.1296667	0.23811015779523	0.247077068401625	0.956465591386195	0.001387789	5.823837244	31.00499255	63.17117021	50.4297039	0.00015791	0	0.144950281	0.115348256	NA	114.191192
"15"	"wp2"	33	"TARA_A100001309"	"0-100"	200	22.0517	38.2167	6.08645649446355	6.08645649446355	5.97093015213513	6.7796036750235	6.2597344160383	6.5485485613789	5.85541570264471	7.06841047280302	7.01064574658139	5.85541570264471	6.72183525546589	6.14420709312287	6.37526329224308	NA	NA	6.7796036750235	7.35723727250708	6.4330204753605	7.18394658471842	6.2597344160383	6.14420709312287	7.35723727250708	7.35723727250708	NA	NA	NA	6.4330204753605	NA	6.02868807490595	6.14420709312287	6.31750758823866	NA	NA	7.5305336418752	6.37526329224308	6.14420709312287	5.97093015213513	6.08645649446355	6.4330204753605	27.33	39.122	182.76	5.34848124123936	34	3.47602664488645	18.299	34.40637675	0.10277	0.000114	0.000851	0.085863	0.049145	0.00083067	0.15339039088085	2.82589249426209	3.40119738166216	443.6815	0.780039993566261	0.462995573011611	1.04399443878758	0.001387773	7.649550603	31.70843354	60.64201585	67.27928543	8.51e-05	0	0.265261337	0.299791565	NA	82.26067542
"16"	"wp2"	34	"TARA_P100000584"	"0-100"	200	18.3975	39.8692	6.08645649446355	6.08645649446355	5.91317862870944	7.35722451325502	6.14420709312287	6.83736500300874	5.97093015213513	6.5485485613789	7.06841047280302	5.91317862870944	6.2597344160383	6.14420709312287	5.97093015213513	NA	NA	6.72183525546589	7.18394658471842	6.37526329224308	7.12616765592045	NA	6.14420709312287	6.895125862582	7.18394658471842	NA	NA	NA	6.08645649446355	NA	6.14420709312287	6.14420709312287	6.4330204753605	NA	NA	7.35723727250708	NA	6.08645649446355	5.97093015213513	6.02868807490595	6.37526329224308	27.67	38.816	183.9	6.24879976952624	28	3.47602664488645	17.795	39.856111	0.10267	0.000117	0.000851	0.068212	NA	NA	0.192676096372811	2.85571589881366	3.09104245335832	421.174	1.11246159864081	0.549172308756935	1.14021310266716	0.001387755	16.69422529	50.23674671	33.069028	515.1187859	0.000469339	0	0.39391602	0.22928013	NA	76.68112809
"17"	"wp2"	36	"TARA_P100000566"	"0-100"	200	22.7745	60.3286	6.20196855487573	6.20196855487573	5.85541570264471	6.72183525546589	6.4330204753605	6.95288159659825	6.02868807490595	6.72183525546589	6.31750758823866	5.73988937054948	6.31750758823866	6.14420709312287	6.31750758823866	NA	NA	NA	7.12616765592045	6.72183525546589	7.06842750437104	NA	6.49078423068777	7.29945947184026	7.41499447921271	6.08645649446355	NA	NA	6.49078423068777	NA	6.31750758823866	6.14420709312287	NA	NA	NA	7.58827304314194	6.60631229128032	6.4330204753605	6.14420709312287	6.08645649446355	6.31750758823866	25.619	36.684	211.4	8.41554189895193	11	3	16.012	49.163003	0.17383	0.000299	0.00203	0.17013	0.085065	0.0016299	0.226505892305012	2.79610991728113	2.89037175789616	1358.45	2.02075606986402	0.999388515162508	2.15645556886861	0.001387737	19.801162	38.78481693	41.41402107	235.4312759	0.000425795	0.0683535	3.835457698	3.852036017	NA	95.06244584
"18"	"wp2"	38	"TARA_P100000031"	"0-100"	200	19.0205	64.5537	6.20196855487573	6.20196855487573	5.73988937054948	6.72183525546589	6.2597344160383	6.83736500300874	6.37526329224308	6.7796036750235	6.66407733269508	5.97093015213513	6.66407733269508	6.20196855487573	NA	NA	NA	NA	NA	6.5485485613789	NA	NA	6.2597344160383	7.01067281298882	7.47272812081857	6.08645649446355	NA	NA	6.60631229128032	NA	6.2597344160383	6.20196855487573	5.85541570264471	NA	NA	7.06842750437104	NA	6.4330204753605	5.97093015213513	6.02868807490595	6.5485485613789	26.428	36.776	200.03	8.83655592240361	13	3.30192724889463	22.493	51.7985725	0.13204	0.000198	0.001391	0.09532	0.061298	0.001518	0.166132891264015	3.15011843579595	3.49650756146648	743.8926667	2.08390313305785	1.02649545738576	2.24318928139442	0.001387723	20.46661683	36.16025126	43.3731319	99.66905823	0.000220786	0.069484	5.142869189	4.196757137	3.15955267	575.5386731
"19"	"wp2"	39	"TARA_P100000052"	"0-100"	200	18.6713	66.4193	6.14420709312287	6.14420709312287	5.85541570264471	6.95288159659825	6.31750758823866	6.7796036750235	6.20196855487573	6.895125862582	6.66407733269508	5.85541570264471	6.60631229128032	6.14420709312287	NA	NA	NA	NA	NA	6.49078423068777	6.02868807490595	NA	6.37526329224308	7.06842750437104	7.41499447921271	6.08645649446355	NA	NA	6.49078423068777	NA	6.20196855487573	6.14420709312287	6.08645649446355	NA	NA	6.83736500300874	NA	6.31750758823866	5.97093015213513	6.02868807490595	6.60631229128032	27.029	36.502	194.71	8.82373071436164	14	3.58304787101595	24.687	51.353293	0.10185	0.000138	0.000986	0.098268	0.056218	0.0014728	0.105395515045341	3.11613409940629	3.46573590279973	510.181	2.19725322971028	1.08939927058688	2.60651582331987	0.00138772	12.71204691	33.65472121	53.63323188	86.15027142	0.000180585	0.086921	2.601306869	2.723816945	2.621348418	476.3224406
"20"	"wp2"	40	"TARA_P100000543"	"0-100"	200	17.4911	67.9944	6.20196855487573	6.14420709312287	5.91317862870944	6.7796036750235	6.2597344160383	6.60631229128032	6.02868807490595	6.66407733269508	6.66407733269508	6.31750758823866	5.91317862870944	6.31750758823866	6.31750758823866	NA	NA	NA	NA	6.4330204753605	6.83736500300874	6.14420709312287	6.37526329224308	6.895125862582	7.24172438538523	6.14420709312287	NA	NA	6.60631229128032	NA	6.08645649446355	6.20196855487573	6.08645649446355	NA	NA	7.70377488246271	6.49078423068777	6.2597344160383	5.97093015213513	6.08645649446355	6.31750758823866	27.55	36.385	191.72	7.86222418262669	19	3.68403149864039	29.015	55.500891	0.097091	0.000139	0.001048	0.089287	0.054078	0.00092636	0.0664616706994196	2.62364425829202	3.58351893845611	312.006	2.18132570446303	1.04275005646968	2.19705144458492	0.001387709	8.552821296	28.79078382	62.65639488	82.59899076	0.000122947	0.0565495	2.447168114	3.711142335	5.094182588	470.0090196
