"Dataset"	"Station"	"Tara_Sample_ID"	"Depth_layer"	"Fraction_size"	"Latitude"	"Longitude"	"Ab_Zooplankton"	"Ab_Copepoda"	"Ab_Rhizaria"	"Ab_Cnidaria"	"Ab_Tunicata"	"Ab_Eumalacostraca"	"Ab_Pteropoda"	"Ab_Chaetognatha"	"Ab_Other_large"	"Ab_Other_small"	"Ab_Other_unid"	"Ab_Small_grazers"	"Ab_Acartiidae"	"Ab_Aetideidae"	"Ab_Arietellidae"	"Ab_Augaptilidae"	"Ab_Calanidae"	"Ab_Calanoida_unidentified"	"Ab_Candaciidae"	"Ab_Centropagidae"	"Ab_Corycaeidae"	"Ab_Eucalanidae"	"Ab_Euchaetidae"	"Ab_Harpacticoida"	"Ab_Heterorhabdidae"	"Ab_Lubbockiidae"	"Ab_Metridinidae"	"Ab_Monstrilloida"	"Ab_Oithonidae"	"Ab_Oncaeidae"	"Ab_Paracalanidae"	"Ab_Pontellidae"	"Ab_Rhincalanidae"	"Ab_Sapphirinidae"	"Ab_Temoridae"	"Ab_Calanoida"	"Ab_Cyclopoida"	"Ab_Poecilostomatoida"	"Ab_Copepoda_unid"	"Temperature"	"Salinity"	"Oxygen"	"Depth_min_O2"	"MLD"	"Zeu"	"PAR"	"PAR2"	"Kd_PAR"	"beta470_sur"	"bb470_sur"	"bac660_sur"	"Kd490"	"bbp470"	"Chla_10m"	"Chla_integrated"	"DCM"	"NPP"	"Micro"	"Nano"	"Pico"	"Nitrates"	"Phosphates"	"Silicates"	"Iron"	"POC"	"PIC"	"Lyapunov"	"flux200m"	"flux500m"	"flux1000m"	"Distance"
"11"	"wp2"	26	"TARA_A100000655"	"0-100"	200	38.4323	20.1874	10.2334732680652	9.58853521410973	2.71803202514749	1.23420115855534	2.58432381951459	1.74679686175431	2.20151410921849	2.78710052792667	3.61036109779728	2.55249019844842	3.89255647955853	3.73442428434691	1.71225288138586	0	0	0.979586108715562	2.24335487930447	8.4394778170976	1.96004026017537	1.30059144685139	4.00644793378584	0	1.55499601946852	0.979586108715562	1.35901601257375	0	2.71803202514749	0	4.19322414621018	2.61490453436401	3.13291327802914	0	0	0.85726188823134	2.22263140613269	8.86277427911465	4.19322414621018	4.35891508510769	3.41538586403406	19.172	38.541	212.32	5.87713065921074	49	3.39121144301417	11.414	20.91916325	0.099954	0.000137	0.000944	0.086391	0.048553	0.00093585	0.122129133233063	2.78616335607801	4.00733318523247	NA	NA	NA	NA	0.406659350700002	0.20991682269042	1.00625249153865	0.001387959	59.38225377	0.000112326	0	0.142656635	NA	NA	51.69083141
"12"	"wp2"	30	"TARA_A100000636"	"0-100"	200	33.9232	32.8028	6.48263610168434	5.95381202416803	2.2327069355366	1.78317658582894	1.66910753466409	0.531329284591306	1.52692134429846	1.51684711186136	2.22263140613269	2.34347063336848	2.36094188201433	2.23737788416279	1.05071757449858	0	0	1.15229535251109	0	4.93146487963887	1.05071757449858	1.07433707098897	2.51984209978975	0	0	0.833955091540261	0	0	2.33921419057029	0	3.3240966509731	1.73690912054343	1.7987645843751	0	0	0.90041133460937	1.47361259945615	5.27571660562426	3.3240966509731	2.80034009474402	2.120138830353	20.465	39.611	207.53	9.31401901560767	34	3.65930571002297	10.35	19.87660075	0.073512	7.8e-05	0.000739	0.063014	0.03292	0.00061261	0.0871735305087039	2.85101570225117	4.24849524204936	306.2666667	5.19998156	46.10586487	48.69415357	0.606072591303387	0.0854987973338349	0.932936339098569	0.001387635	41.98608971	0.00014266	0.062699	0.063408374	0.031758383	NA	111.3194908
"13"	"wp2"	31	"TARA_A100001476"	"0-100"	200	27.15	34.8183	4.46825393453512	4.14237240237516	0.638250429885991	0.771944262936164	1.62107534151932	0.464158883361278	1.48579176828931	1.32191640828431	1.32191640828431	1.44704113231843	1.42110870233358	1.37330369328893	2.05038660168613	0	0	0.612692567522842	0.430886938006377	2.99703410582724	0.824257059961711	0.310723250595386	2.31396668583373	0	0.310723250595386	0.638250429885991	0	0	1.39590640938178	0	2.25127499753094	1.55912069666665	0.742895884144657	0	0	0.85270189832816	0.310723250595386	3.4090875690203	2.25127499753094	2.56115832997499	1.34072285940983	25.058	40.172	189.51	6.64185219534421	47	3.80295246076139	19.022	32.072556	0.077421	9.5e-05	0.000808	0.056839	0.036789	0.00074153	0.0401327970782494	2.85810870969195	4.38202663467388	334.5795	7.908267796	27.55301379	64.53871841	0.358952717603416	0.341281209827856	1.04096557267884	0.00138745	44.07948875	0.000108206	0.028165	0.0737119	NA	NA	92.70752867
"14"	"wp2"	32	"TARA_A100001168"	"0-100"	200	23.3756	37.2411	4.68739644215663	4.26827196538807	0.943538796063307	1.07144126969077	1.62739292422903	0.766309432393553	1.00332228354209	1.73911612307063	1.72690750273493	1.54528571082114	1.73911612307063	1.55361625297693	1.20046278446547	0	0	0.697953204690889	0.553965825675446	3.2418335402524	1.1186889420814	0.7937005259841	2.15515259567983	0	0.553965825675446	0.7937005259841	0	0	1.10247377144973	0	2.64573896922358	1.48880555295383	0.90041133460937	0.479141985706278	0	1.34993140940949	0.697953204690889	3.44541152942834	2.64573896922358	2.5082394812133	1.69502582894424	25.712	40.036	188.55	5.86746430844261	56	3.8485011312768	21.63	35.41432467	0.077454	0.000114	0.000851	0.053638	0.038257	0.00098444	0.0356229026340133	2.76679383929133	4.33073334028633	375.1296667	5.823837244	31.00499255	63.17117021	0.23811015779523	0.247077068401625	0.956465591386195	0.001387789	50.4297039	0.00015791	0	0.144950281	0.115348256	NA	114.191192
"15"	"wp2"	33	"TARA_A100001309"	"0-100"	200	22.0517	38.2167	4.82415486284892	4.48472184972727	1.09696131048652	0.843432665301749	1.80900833930205	0.920516408251589	1.41113568110281	1.45021796168576	1.61980590063874	1.2141835471794	1.85663553344511	1.2141835471794	0.920516408251589	0	0	0.843432665301749	0.621446501190772	3.82950257931594	1.09696131048652	0.564621617328617	1.53119845724049	0.711378660898013	1.24073144497159	0	0	0	0.843432665301749	0	2.16230549443957	2.00166527970358	0.920516408251589	0	0	0.843432665301749	0.391486764116886	3.97863609907666	2.16230549443957	2.30207751796315	1.70540379665632	27.33	39.122	182.76	5.34848124123936	34	3.47602664488645	18.299	34.40637675	0.10277	0.000114	0.000851	0.085863	0.049145	0.00083067	0.15339039088085	2.82589249426209	3.40119738166216	443.6815	7.649550603	31.70843354	60.64201585	0.780039993566261	0.462995573011611	1.04399443878758	0.001387773	67.27928543	8.51e-05	0	0.265261337	0.299791565	NA	82.26067542
"16"	"wp2"	34	"TARA_P100000584"	"0-100"	200	18.3975	39.8692	5.26527674336805	4.67293941045976	1.6868653306035	0.798956974045401	2.64335584870393	1.07433707098897	1.05071757449858	1.61598558951957	1.74460926164245	1.67862510337322	1.92470057748026	1.5874010519682	0.661910594802623	0	0	1.02914246657151	0.412128529980856	3.24088173939316	1.02914246657151	0	1.5874010519682	0.760590492152278	1.11333628152095	0	0	0	1.07433707098897	0	3.12849209623088	2.73729678161733	1.15229535251109	0	0	1.13185119596295	0	3.45269690406266	3.12849209623088	2.9609760598961	1.91747497937454	27.67	38.816	183.9	6.24879976952624	28	3.47602664488645	17.795	39.856111	0.10267	0.000117	0.000851	0.068212	NA	NA	0.192676096372811	2.85571589881366	3.09104245335832	421.174	16.69422529	50.23674671	33.069028	1.11246159864081	0.549172308756935	1.14021310266716	0.001387755	515.1187859	0.000469339	0	0.39391602	0.22928013	NA	76.68112809
"17"	"wp2"	36	"TARA_P100000566"	"0-100"	200	22.7745	60.3286	10.3019256775958	9.43789590900843	3.47602664488645	1.81712059283214	3.26075333563175	1.6714970977474	2.48416659974138	2.71441761659491	2.93682721879197	3.43894099364986	3.66750210531755	4.18562736496135	0.875034012283327	0	0	0	0.875034012283327	6.74357871274209	0.875034012283327	0	2.28942848510666	2.44799224654727	3.68403149864039	2.37106458134041	0	0	1.5874010519682	0	3.76406569422124	6.96581976788262	0	0	0	2.74439630255459	0.875034012283327	7.23042679252569	3.76406569422124	7.18338504217647	2.85740354764201	25.619	36.684	211.4	8.41554189895193	11	3	16.012	49.163003	0.17383	0.000299	0.00203	0.17013	0.085065	0.0016299	0.226505892305012	2.79610991728113	2.89037175789616	1358.45	19.801162	38.78481693	41.41402107	2.02075606986402	0.999388515162508	2.15645556886861	0.001387737	235.4312759	0.000425795	0.0683535	3.835457698	3.852036017	NA	95.06244584
"18"	"wp2"	38	"TARA_P100000031"	"0-100"	200	19.0205	64.5537	9.93234328926219	8.94684719843577	1.64851411992342	1.85663553344511	3.48263507646944	0	1.72354775202551	2.67773180032868	3.8762084333734	3.46495642136361	4.11656986628603	4.54812546056238	0	0	0	0	0	6.62336378246968	0	0	2.07699764074044	1.56594705646755	3.53462236896144	1.64851411992342	0	0	1.24289300238154	0	4.61920140116618	6.15872689718834	0.861773876012753	0	0	1.56594705646755	0	6.98718744701725	4.61920140116618	6.26922082896268	2.94722519891231	26.428	36.776	200.03	8.83655592240361	13	3.30192724889463	22.493	51.7985725	0.13204	0.000198	0.001391	0.09532	0.061298	0.001518	0.166132891264015	3.15011843579595	3.49650756146648	743.8926667	20.46661683	36.16025126	43.3731319	2.08390313305785	1.02649545738576	2.24318928139442	0.001387723	99.66905823	0.000220786	0.069484	5.142869189	4.196757137	3.15955267	575.5386731
"19"	"wp2"	39	"TARA_P100000052"	"0-100"	200	18.6713	66.4193	10.117415953533	9.39216942551481	2.47331620330589	2.33921419057029	3.90067925928964	0	1.73690912054343	1.7987645843751	3.58200900523692	3.01290735009119	3.8748768604643	3.47298936531188	0	0	0	0	0	6.53191405608898	1.20507113208762	0	3.40736580732894	1.51684711186136	3.33941113359008	1.96263978611315	0	0	1.20507113208762	0	4.42577842817473	6.9218518883401	1.05071757449858	0	0	1.32572050525082	0	6.86878004931377	4.42577842817473	7.20181281513625	3.11618314759116	27.029	36.502	194.71	8.82373071436164	14	3.58304787101595	24.687	51.353293	0.10185	0.000138	0.000986	0.098268	0.056218	0.0014728	0.105395515045341	3.11613409940629	3.46573590279973	510.181	12.71204691	33.65472121	53.63323188	2.19725322971028	1.08939927058688	2.60651582331987	0.00138772	86.15027142	0.000180585	0.086921	2.601306869	2.723816945	2.621348418	476.3224406
"20"	"wp2"	40	"TARA_P100000543"	"0-100"	200	17.4911	67.9944	10.655317790676	9.84074387925132	2.54015168457819	0.920516408251589	4.31585994541408	1.46122871481256	1.7608845415981	2.36750174414565	2.45685985305843	3.06807328875783	3.1748021039364	4.64004112131611	1.67268932147384	0	0	0	0	7.73089292463667	0.920516408251589	0.920516408251589	3.95064348860576	1.32761439426177	3.77626012344268	1.67268932147384	0	0	1.32761439426177	0	3.86553011912618	6.60981093676878	1.46122871481256	0	0	1.1597779995298	1.1597779995298	8.10035054114716	3.86553011912618	7.06069667065213	2.32017537318758	27.55	36.385	191.72	7.86222418262669	19	3.68403149864039	29.015	55.500891	0.097091	0.000139	0.001048	0.089287	0.054078	0.00092636	0.0664616706994196	2.62364425829202	3.58351893845611	312.006	8.552821296	28.79078382	62.65639488	2.18132570446303	1.04275005646968	2.19705144458492	0.001387709	82.59899076	0.000122947	0.0565495	2.447168114	3.711142335	5.094182588	470.0090196
