"net"	"Station"	"Latitude"	"Longitude"	"ESD_Zooplankton"	"ESD_Copepoda"	"ESD_Chaetognatha"	"ESD_Gel_carn"	"ESD_Gel_FF"	"ESD_Crust"	"ESD_Pteropoda"	"ESD_Rhizaria"	"ESD_Small_grazers"	"ESD_Copepoda_unid"	"ESD_Calanoida"	"ESD_Cyclopoida"	"ESD_Harpacticoida"	"ESD_Poecilostomatoida"	"ESD_Acartiidae"	"ESD_Augaptilidae"	"ESD_Calanidae"	"ESD_Calanoida_unidentified"	"ESD_Candaciidae"	"ESD_Centropagidae"	"ESD_Corycaeidae"	"ESD_Eucalanidae"	"ESD_Euchaetidae"	"ESD_Harpacticoida.1"	"ESD_Heterorhabdidae"	"ESD_Metridinidae"	"ESD_Oithonidae"	"ESD_Oncaeidae"	"ESD_Paracalanidae"	"ESD_Pontellidae"	"ESD_Rhincalanidae"	"ESD_Sapphirinidae"	"ESD_Temoridae"	"ESD_Aetideidae"	"ESD_Arietellidae"	"ESD_Copepoda_unidentified"	"ESD_Lubbockiidae"	"ESD_Monstrilloida"	"Temperature"	"O2"	"Salinity"	"PAR"	"MLD"	"Chla"	"bbp470"	"Micro"	"Nano"	"Pico"	"PAR2"	"Flux200"	"NO2NO3"	"SiO2"	"PO4"	"PC1"	"PC2"
"11"	"wp2"	26	38.389	20.169	6.02868967385486	6.02868967385486	7.01064817964812	6.20197646899485	5.85540287871488	6.89512364955479	5.85540287871488	6.4330255291815	6.02868967385486	6.37526326413484	6.02868967385486	5.91316514376154	6.37526326413484	6.02868967385486	5.79764061366822	7.06841044469478	7.12617270974144	6.02868967385486	6.54855005927482	5.79764061366822	6.08645193890153	NA	7.06841044469478	6.37526326413484	6.72183685441481	6.4330255291815	5.91316514376154	5.91316514376154	6.31750099908817	NA	NA	7.24169723983477	6.25973873404151	NA	NA	NA	NA	NA	19.172	212.32	38.541	11.414	49	0.506449776358889	-6.96538439181877	NA	NA	NA	20.91916325	0.142656634615385	0.406659350700002	1.00625249153865	0.20991682269042	NA	NA
"12"	"wp2"	30	33.826	32.787	6.02868967385486	5.9709274088082	6.60631232432149	6.60631232432149	5.9709274088082	7.12617270974144	5.73987834862155	5.9709274088082	5.85540287871488	6.14421420394819	5.9709274088082	5.9709274088082	6.14421420394819	5.9709274088082	5.9709274088082	7.12617270974144	NA	5.9709274088082	5.79764061366822	5.91316514376154	6.02868967385486	NA	NA	6.14421420394819	NA	6.49078779422816	5.9709274088082	5.85540287871488	6.14421420394819	NA	NA	6.37526326413484	6.02868967385486	NA	NA	NA	NA	NA	20.465	207.53	39.611	10.35	34	0.449935793308462	-7.21021263701607	5.19998156034908	46.1058648728196	48.6941535668313	19.87660075	0.0634083743589744	0.606072591303387	0.932936339098569	0.0854987973338349	-1.46449800299094	-3.36900342537701
"13"	"wp2"	31	27.133	34.731	6.08645193890153	6.08645193890153	6.66407458936815	6.77959911946147	6.4330255291815	7.12617270974144	5.85540287871488	5.73987834862155	6.14421420394819	6.4330255291815	6.14421420394819	5.85540287871488	6.49078779422816	6.02868967385486	6.25973873404151	6.83736138450813	6.77959911946147	6.08645193890153	6.83736138450813	6.77959911946147	5.9709274088082	NA	7.47274630002142	6.49078779422816	NA	6.31750099908817	5.85540287871488	6.02868967385486	6.4330255291815	NA	NA	6.31750099908817	6.49078779422816	NA	NA	NA	NA	NA	25.058	189.51	40.172	19.022	47	0.344678689853825	-7.12094849944318	7.90826779639328	27.5530137916858	64.5387184119209	32.072556	0.0737119	0.358952717603416	1.04096557267884	0.341281209827856	-2.1703641760612	-2.67518678966876
"14"	"wp2"	32	23.333	37.195	6.08645193890153	6.08645193890153	6.66407458936815	6.60631232432149	6.14421420394819	7.29945950488143	5.79764061366822	5.79764061366822	6.08645193890153	6.31750099908817	6.14421420394819	5.85540287871488	6.25973873404151	5.9709274088082	6.20197646899485	6.77959911946147	6.83736138450813	6.08645193890153	6.77959911946147	6.60631232432149	5.91316514376154	NA	6.20197646899485	6.25973873404151	NA	6.31750099908817	5.85540287871488	5.91316514376154	6.25973873404151	7.41498403497476	NA	6.77959911946147	6.49078779422816	NA	NA	NA	NA	NA	25.712	188.55	40.036	21.63	56	0.331000940112882	-7.0690984293909	5.82383724427394	31.0049925479371	63.1711702077889	35.4143246666667	0.144950280821918	0.23811015779523	0.956465591386195	0.247077070221714	-2.38641602786718	-2.98738059091832
"15"	"wp2"	33	22.074	38.189	6.14421420394819	6.14421420394819	7.06841044469478	6.77959911946147	6.25973873404151	6.60631232432149	5.85540287871488	5.9709274088082	6.14421420394819	6.4330255291815	6.14421420394819	5.9709274088082	NA	6.08645193890153	6.20197646899485	6.77959911946147	7.35722176992809	6.14421420394819	6.54855005927482	6.25973873404151	6.08645193890153	7.24169723983477	6.31750099908817	NA	NA	6.37526326413484	5.9709274088082	5.9709274088082	6.20197646899485	NA	NA	6.72183685441481	6.37526326413484	NA	NA	NA	NA	NA	27.33	182.76	39.122	18.299	34	0.549343569472336	-7.0690984293909	7.64955060343387	31.7084335423494	60.6420158542168	34.40637675	0.265261337349397	0.780039993566261	1.04399443878758	0.462995573011611	-1.79193760333062	-1.94815291840602
"16"	"wp2"	34	18.345	39.759	6.08645193890153	6.08645193890153	6.54855005927482	7.35722176992809	6.14421420394819	6.83736138450813	5.9709274088082	5.91316514376154	6.14421420394819	6.37526326413484	6.08645193890153	5.9709274088082	NA	6.02868967385486	5.9709274088082	6.72183685441481	7.18393497478811	6.08645193890153	6.66407458936815	NA	6.08645193890153	6.89512364955479	6.77959911946147	NA	NA	6.08645193890153	5.9709274088082	5.9709274088082	6.14421420394819	NA	NA	6.77959911946147	NA	NA	NA	NA	NA	NA	27.67	183.9	38.816	17.795	28	0.596732235164345	-7.0690984293909	16.6942252909916	50.2367467069392	33.0690280020692	39.856111	0.393916019736842	1.11246159864081	1.14021310266716	0.549172308756935	-1.29220374501679	-1.57171639399961
"17"	"wp2"	36	20.733	63.453	6.20197646899485	6.20197646899485	6.72183685441481	6.72183685441481	6.4330255291815	6.95288591460146	6.02868967385486	5.85540287871488	6.14421420394819	6.31750099908817	6.4330255291815	6.14421420394819	6.08645193890153	6.08645193890153	6.31750099908817	NA	7.12617270974144	6.37526326413484	7.06841044469478	NA	6.20197646899485	7.06841044469478	7.24169723983477	6.08645193890153	NA	6.49078779422816	6.14421420394819	6.08645193890153	NA	NA	NA	6.83736138450813	6.60631232432149	NA	NA	NA	NA	NA	25.619	211.4	36.684	16.012	11	0.63347703725863	-6.19971948592844	19.8011620007503	38.7848169291139	41.4140210701358	49.163003	3.83545769789984	2.02075606983681	2.15645556862968	0.999388515051261	-0.0187921915059565	1.20217654716408
"18"	"wp2"	38	19.034	64.449	6.20197646899485	6.20197646899485	7.01064817964812	6.72183685441481	6.37526326413484	7.35722176992809	6.31750099908817	5.73987834862155	6.20197646899485	6.54855005927482	6.4330255291815	5.9709274088082	6.08645193890153	6.02868967385486	NA	NA	NA	6.37526326413484	NA	NA	6.08645193890153	7.01064817964812	6.77959911946147	6.08645193890153	NA	6.60631232432149	5.9709274088082	6.02868967385486	5.85540287871488	NA	NA	7.06841044469478	NA	NA	NA	NA	NA	NA	26.428	200.03	36.776	22.493	13	0.565383872578232	-6.57773236604083	20.4666168312547	36.1602512642318	43.3731319045136	51.7985725	5.14286918901099	2.08390313303227	2.24318928139442	1.02649545738576	-0.463172479305184	1.44588814712815
"19"	"wp2"	39	18.512	66.468	6.14421420394819	6.14421420394819	6.89512364955479	6.95288591460146	6.31750099908817	6.77959911946147	6.20197646899485	5.85540287871488	6.14421420394819	6.60631232432149	6.31750099908817	5.9709274088082	6.08645193890153	6.02868967385486	NA	NA	NA	6.25973873404151	6.02868967385486	NA	5.9709274088082	7.06841044469478	6.49078779422816	6.08645193890153	NA	6.49078779422816	5.9709274088082	6.02868967385486	6.08645193890153	NA	NA	6.31750099908817	NA	NA	NA	NA	NA	NA	27.029	194.71	36.502	24.687	14	0.480805937710158	-6.92185420336164	12.7120469121832	33.6547212061192	53.6332318816976	51.353293	2.60130686899039	2.19725322948014	2.60651582348341	1.08939927058688	-0.995947752953898	2.05600290864658
"20"	"wp2"	40	17.44	67.841	6.20197646899485	6.14421420394819	6.66407458936815	6.77959911946147	6.25973873404151	6.60631232432149	6.02868967385486	5.91316514376154	6.31750099908817	6.31750099908817	6.25973873404151	5.9709274088082	6.14421420394819	6.08645193890153	6.31750099908817	NA	NA	6.20197646899485	6.83736138450813	6.14421420394819	6.20197646899485	6.89512364955479	6.72183685441481	6.14421420394819	NA	6.25973873404151	5.9709274088082	6.08645193890153	6.08645193890153	NA	NA	7.70379536020806	6.49078779422816	NA	NA	NA	NA	NA	27.55	191.72	36.385	29.015	19	0.409601039629523	-6.86087169308329	8.55282129580313	28.7907838199218	62.6563948842751	55.500891	2.44716811389961	2.18132570469654	2.1970514448151	1.04275005646968	-1.43522030769419	1.80611602375455
"21"	"wp2"	41	14.545	69.878	6.20197646899485	6.14421420394819	6.66407458936815	6.72183685441481	6.31750099908817	7.01064817964812	5.79764061366822	6.20197646899485	6.14421420394819	6.4330255291815	6.25973873404151	6.08645193890153	6.02868967385486	6.02868967385486	6.31750099908817	NA	NA	6.20197646899485	6.60631232432149	NA	5.9709274088082	7.18393497478811	7.06841044469478	6.02868967385486	NA	6.4330255291815	6.08645193890153	6.02868967385486	NA	7.06841044469478	NA	6.72183685441481	NA	NA	NA	NA	NA	NA	29.087	187.7	36.195	34.947	11	0.192427757228485	-7.39877827545195	6.23527661368314	24.5383572627107	69.2263661236062	56.4512823333333	0.551669643274854	1.89045691916206	2.09775522288676	0.913180514447525	-2.27525507150509	1.41436969476021
"22"	"wp2"	42	6.0193	73.805	6.14421420394819	6.08645193890153	6.72183685441481	6.60631232432149	6.08645193890153	6.72183685441481	5.85540287871488	5.9709274088082	6.20197646899485	6.37526326413484	6.14421420394819	5.91316514376154	6.31750099908817	6.08645193890153	6.20197646899485	6.95288591460146	7.29945950488143	6.08645193890153	6.72183685441481	6.20197646899485	6.08645193890153	6.89512364955479	7.01064817964812	6.31750099908817	NA	6.37526326413484	5.91316514376154	5.9709274088082	6.31750099908817	7.01064817964812	NA	6.95288591460146	6.02868967385486	NA	NA	NA	NA	NA	30.335	188.37	34.736	36.273	11	0	-7.58897388867681	3.95274058597456	13.5141222361725	82.533137177853	54.750086	0.504099242038216	1.80130221269195	2.0770684684778	0.799869770468153	-2.7074073940959	1.36181315767001
"23"	"wp2"	43	4.5935	73.437	5.91316514376154	5.91316514376154	7.99260668544138	NA	6.31750099908817	7.58827083011474	5.68211608357489	5.9709274088082	6.14421420394819	6.89512364955479	6.08645193890153	5.73987834862155	NA	5.85540287871488	6.08645193890153	NA	NA	6.08645193890153	NA	NA	6.02868967385486	NA	NA	NA	NA	NA	5.73987834862155	5.85540287871488	NA	NA	NA	7.12617270974144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-6.47273136863243	14.3436388850234	31.9296157851045	53.726745329872	51.5935316666667	NA	0.327106631018859	1.27321935208338	0.423582358425489	NA	NA
